Message;Termino;@version;@timestamp;user;command;Channel;Nick;server;host;contador
everything I buy/everyone I buy from is whole numbers minus sending it. its just pennies by then;;1;2016-06-25T09:30:39.234Z;SyncYourDogmas!~James@unaffiliated/syncyourdogmas;PRIVMSG;##crypto;SyncYourDogmas;irc.freenode.net:6667;unaffiliated/syncyourdogmas;1
spudowiar: sounds like you still don't need more than 2 addresses;;1;2016-06-25T09:32:38.949Z;ThomW!~Thom@unaffiliated/theguyofdoom;PRIVMSG;##crypto;ThomW;irc.freenode.net:6667;unaffiliated/theguyofdoom;1
at the same time;;1;2016-06-25T09:32:50.347Z;ThomW!~Thom@unaffiliated/theguyofdoom;PRIVMSG;##crypto;ThomW;irc.freenode.net:6667;unaffiliated/theguyofdoom;1
ThomW: then I could receive BTC for that old address or a new one etc.;bitcoin;1;2016-06-25T09:33:10.708Z;spudowiar!~spudowiar@unaffiliated/spudowiar;PRIVMSG;##crypto;spudowiar;irc.freenode.net:6667;unaffiliated/spudowiar;1
you can transfer between addresses on same device free;;1;2016-06-25T09:33:31.971Z;SyncYourDogmas!~James@unaffiliated/syncyourdogmas;PRIVMSG;##crypto;SyncYourDogmas;irc.freenode.net:6667;unaffiliated/syncyourdogmas;1
the wallet handles that though;;1;2016-06-25T09:33:49.104Z;SyncYourDogmas!~James@unaffiliated/syncyourdogmas;PRIVMSG;##crypto;SyncYourDogmas;irc.freenode.net:6667;unaffiliated/syncyourdogmas;1
Eurgh;;1;2016-06-25T09:33:56.268Z;spudowiar!~spudowiar@unaffiliated/spudowiar;PRIVMSG;##crypto;spudowiar;irc.freenode.net:6667;unaffiliated/spudowiar;1
I'm just 14 but you're acting as if I'm stupid;;1;2016-06-25T09:34:09.038Z;spudowiar!~spudowiar@unaffiliated/spudowiar;PRIVMSG;##crypto;spudowiar;irc.freenode.net:6667;unaffiliated/spudowiar;1
gg;;1;2016-06-25T09:34:21.392Z;ThomW!~Thom@unaffiliated/theguyofdoom;PRIVMSG;##crypto;ThomW;irc.freenode.net:6667;unaffiliated/theguyofdoom;1
also still not convinced that that screen is a secure output method;;1;2016-06-25T09:34:45.452Z;ThomW!~Thom@unaffiliated/theguyofdoom;PRIVMSG;##crypto;ThomW;irc.freenode.net:6667;unaffiliated/theguyofdoom;1
and idk if pkcs11 even supports the stuff needed to support that (but I haven't read pkcs11);;1;2016-06-25T09:35:24.803Z;ThomW!~Thom@unaffiliated/theguyofdoom;PRIVMSG;##crypto;ThomW;irc.freenode.net:6667;unaffiliated/theguyofdoom;1
I transfer to a persistant usb;;1;2016-06-25T09:36:38.803Z;SyncYourDogmas!~James@unaffiliated/syncyourdogmas;PRIVMSG;##crypto;SyncYourDogmas;irc.freenode.net:6667;unaffiliated/syncyourdogmas;1
4 day streak NullMode ;;1;2016-06-25T09:37:40.402Z;eip`!sid27234@gateway/web/irccloud.com/x-xtlubvautmvzcnwd;PRIVMSG;#vulnhub;eip`;irc.freenode.net:6667;gateway/web/irccloud.com/x-xtlubvautmvzcnwd;1
"""The end of Top Gear was the leading cause for Britain to leave the EU, the union has some free space""   :);;1;2016-06-25T09:39:39.724Z;Apachez!~Apachez@unaffiliated/apachez;PRIVMSG;##security;Apachez;irc.freenode.net:6667;unaffiliated/apachez;1"
"""The end of Top Gear was the leading cause for Britain to leave the EU, the union has some free space""   :);;1;2016-06-25T09:39:41.738Z;Apachez!~Apachez@unaffiliated/apachez;PRIVMSG;##networking;Apachez;irc.freenode.net:6667;unaffiliated/apachez;1"
Tails used to hold the blockchain?;;1;2016-06-25T09:40:57.914Z;sn0wmonster!~yeti@unaffiliated/sn0wmonster;PRIVMSG;##crypto;sn0wmonster;irc.freenode.net:6667;unaffiliated/sn0wmonster;1
W/e;;1;2016-06-25T09:40:59.387Z;Captain_Beezay!sid146285@funtoo/user/terabit;PRIVMSG;##networking;Captain_Beezay;irc.freenode.net:6667;funtoo/user/terabit;1
I can't imagine that. hehe;;1;2016-06-25T09:41:05.940Z;sn0wmonster!~yeti@unaffiliated/sn0wmonster;PRIVMSG;##crypto;sn0wmonster;irc.freenode.net:6667;unaffiliated/sn0wmonster;1
Of course using Electrum can be a privacy vulnerability too;;1;2016-06-25T09:41:33.802Z;sn0wmonster!~yeti@unaffiliated/sn0wmonster;PRIVMSG;##crypto;sn0wmonster;irc.freenode.net:6667;unaffiliated/sn0wmonster;1
Usbarmory;;1;2016-06-25T09:42:06.136Z;Captain_Beezay!sid146285@funtoo/user/terabit;PRIVMSG;##crypto;Captain_Beezay;irc.freenode.net:6667;funtoo/user/terabit;1
You'd need to have an above-standard setup to run that and tails at the same time wouldn't you?;;1;2016-06-25T09:42:56.638Z;sn0wmonster!~yeti@unaffiliated/sn0wmonster;PRIVMSG;##crypto;sn0wmonster;irc.freenode.net:6667;unaffiliated/sn0wmonster;1
like 8GB> or RAM or something?;;1;2016-06-25T09:43:02.940Z;sn0wmonster!~yeti@unaffiliated/sn0wmonster;PRIVMSG;##crypto;sn0wmonster;irc.freenode.net:6667;unaffiliated/sn0wmonster;1
I dont anymore but did couple years ago. if turned off mostly;;1;2016-06-25T09:43:04.351Z;SyncYourDogmas!~James@unaffiliated/syncyourdogmas;PRIVMSG;##crypto;SyncYourDogmas;irc.freenode.net:6667;unaffiliated/syncyourdogmas;1
its*;;1;2016-06-25T09:43:08.084Z;SyncYourDogmas!~James@unaffiliated/syncyourdogmas;PRIVMSG;##crypto;SyncYourDogmas;irc.freenode.net:6667;unaffiliated/syncyourdogmas;1
happy saturday;;1;2016-06-25T09:43:10.207Z;SunDwarf!~Sun@WiseOS/Founder/Eyes;PRIVMSG;##crypto;SunDwarf;irc.freenode.net:6667;WiseOS/Founder/Eyes;1
are we on another bitcoin discussion;bitcoin;1;2016-06-25T09:43:28.504Z;SunDwarf!~Sun@WiseOS/Founder/Eyes;PRIVMSG;##crypto;SunDwarf;irc.freenode.net:6667;WiseOS/Founder/Eyes;1
Be one with the packet.;;1;2016-06-25T10:00:58.567Z;Captain_Beezay!sid146285@funtoo/user/terabit;PRIVMSG;##networking;Captain_Beezay;irc.freenode.net:6667;funtoo/user/terabit;1
lol;;1;2016-06-25T10:04:30.100Z;iz!~iz@ec2-54-82-250-61.compute-1.amazonaws.com;PRIVMSG;##security;iz;irc.freenode.net:6667;ec2-54-82-250-61.compute-1.amazonaws.com;1
http://pastebin.com/2wSpNjFx;;1;2016-06-25T10:06:32.251Z;madmouse!anon@3DA2998D.D814F1BC.41A97753.IP;PRIVMSG;#coffeesh0p;madmouse;irc.hackthissite.org:6667;3DA2998D.D814F1BC.41A97753.IP;1
Saying wrong password;;1;2016-06-25T10:11:20.360Z;allamoox!~allamoox@ashellz/owner/allamox;PRIVMSG;#vulnhub;allamoox;irc.freenode.net:6667;ashellz/owner/allamox;1
the idea is you hack the box remotely;hack;1;2016-06-25T10:13:04.148Z;dqi!~dqi@165-218-045-062.dynamic.caiway.nl;PRIVMSG;#vulnhub;dqi;irc.freenode.net:6667;165-218-045-062.dynamic.caiway.nl;1
